gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group A,associate's degree,free/reduced,completed,56,60,63
female,group B,some high school,free/reduced,none,36,52,51
male,group C,high school,free/reduced,none,51,57,44
male,group B,high school,standard,none,52,48,49
male,group D,master's degree,standard,none,100,97,91
female,group D,some college,standard,none,74,79,73
female,group E,high school,standard,none,54,56,56
female,group D,associate's degree,standard,none,70,79,76
female,group D,high school,free/reduced,none,75,81,87
female,group A,some high school,standard,none,57,53,54
female,group C,some high school,standard,completed,69,84,81
female,group B,some college,standard,completed,61,75,82
male,group A,high school,standard,none,78,72,66
male,group E,some college,standard,none,81,72,70
male,group E,bachelor's degree,standard,completed,100,100,100
male,group B,high school,free/reduced,completed,73,68,71
male,group A,some high school,standard,none,59,60,50
female,group E,high school,free/reduced,none,62,70,64
female,group C,associate's degree,standard,completed,91,96,97
male,group C,some high school,standard,none,67,65,62
male,group B,bachelor's degree,standard,completed,64,70,72
male,group B,some college,standard,none,76,70,67
male,group C,some high school,free/reduced,none,74,66,64
male,group D,some college,standard,none,74,63,65
female,group C,high school,free/reduced,none,39,50,41
male,group D,high school,free/reduced,none,48,46,50
female,group C,high school,standard,none,59,63,61
male,group C,some college,standard,none,51,56,53
female,group C,associate's degree,free/reduced,none,44,55,61
male,group C,high school,free/reduced,none,56,67,62
female,group B,associate's degree,free/reduced,none,67,76,76
male,group E,master's degree,standard,completed,88,89,87
female,group D,high school,standard,completed,75,74,75
male,group A,some high school,free/reduced,completed,59,55,58
female,group D,associate's degree,standard,none,83,85,86
female,group C,some high school,standard,none,70,75,78
male,group C,high school,free/reduced,none,72,68,62
male,group D,some high school,standard,none,68,53,53
female,group D,master's degree,standard,completed,64,67,72
male,group A,associate's degree,free/reduced,completed,69,77,77
male,group E,associate's degree,standard,none,56,44,44
male,group D,associate's degree,free/reduced,none,82,76,75
male,group C,some college,standard,completed,71,66,70
female,group B,high school,free/reduced,completed,75,90,95
male,group E,associate's degree,standard,none,71,63,53
male,group C,some college,standard,none,80,79,74
male,group D,associate's degree,standard,none,81,74,74
female,group D,master's degree,standard,none,65,73,77
male,group E,high school,free/reduced,none,59,55,46
male,group C,some college,standard,completed,80,76,68
female,group B,high school,free/reduced,completed,69,78,75
female,group B,bachelor's degree,free/reduced,completed,49,57,61
male,group A,some college,standard,completed,56,51,44
female,group A,some college,free/reduced,completed,75,97,92
female,group C,master's degree,standard,completed,66,70,83
male,group D,some high school,standard,none,70,66,59
female,group D,some college,standard,none,66,70,67
male,group B,high school,free/reduced,completed,59,62,58
female,group C,master's degree,standard,completed,62,68,75
female,group E,bachelor's degree,standard,completed,98,100,99
male,group D,bachelor's degree,standard,completed,100,100,100
female,group C,bachelor's degree,standard,none,67,72,72
male,group B,some college,free/reduced,none,42,48,33
male,group E,some college,free/reduced,none,73,73,63
male,group E,some college,standard,none,75,66,59
male,group A,associate's degree,standard,none,60,56,57
male,group D,associate's degree,standard,none,97,94,91
female,group D,some college,free/reduced,none,50,66,66
female,group D,some college,free/reduced,none,71,83,80
female,group E,associate's degree,standard,completed,86,89,96
female,group E,some college,free/reduced,none,74,78,81
