iter	Passed	Remaining
0	159	159180
1	164	82059
2	169	56177
3	173	43232
4	177	35382
5	182	30227
6	185	26384
7	189	23460
8	191	21062
9	193	19148
10	195	17547
11	197	16221
12	198	15103
13	200	14116
14	201	13246
15	202	12482
16	204	11816
17	205	11214
18	206	10669
19	207	10175
20	208	9721
21	209	9309
22	210	8933
23	211	8588
24	212	8274
25	213	7980
26	213	7709
27	214	7455
28	215	7220
29	216	6997
30	217	6790
31	218	6596
32	219	6417
33	219	6244
34	220	6082
35	221	5928
36	222	5782
37	222	5641
38	223	5507
39	224	5382
40	224	5261
41	225	5147
42	226	5037
43	227	4932
44	227	4832
45	228	4736
46	229	4644
47	229	4556
48	230	4476
49	231	4396
50	232	4327
51	233	4259
52	234	4190
53	235	4124
54	236	4059
55	237	3997
56	237	3937
57	238	3881
58	240	3831
59	241	3788
60	243	3744
61	244	3694
62	245	3644
63	245	3597
64	246	3548
65	247	3501
66	248	3455
67	248	3410
68	249	3366
69	250	3324
70	250	3282
71	251	3243
72	252	3204
73	253	3166
74	253	3128
75	254	3093
76	255	3060
77	256	3027
78	256	2994
79	257	2962
80	258	2930
81	258	2899
82	259	2865
83	260	2836
84	260	2807
85	261	2779
86	262	2752
87	262	2725
88	263	2699
89	264	2670
90	264	2644
91	265	2620
92	265	2592
93	266	2568
94	267	2545
95	267	2523
96	268	2501
97	269	2480
98	270	2459
99	270	2438
100	271	2417
101	272	2395
102	272	2377
103	273	2357
104	274	2339
105	275	2320
106	275	2301
107	276	2284
108	277	2266
109	277	2249
110	278	2231
111	279	2214
112	280	2198
113	280	2181
114	281	2166
115	282	2150
116	282	2134
117	283	2119
118	284	2106
119	285	2092
120	286	2078
121	286	2064
122	287	2051
123	288	2037
124	289	2023
125	289	2009
126	290	1996
127	291	1983
128	291	1970
129	292	1958
130	293	1945
131	293	1933
132	294	1920
133	295	1908
134	296	1897
135	296	1885
136	297	1873
137	298	1862
138	298	1851
139	299	1841
140	300	1830
141	301	1818
142	301	1806
143	302	1796
144	302	1786
145	303	1776
146	304	1766
147	305	1755
148	305	1745
149	306	1736
150	307	1726
151	307	1716
152	308	1707
153	309	1698
154	309	1689
155	310	1680
156	311	1671
157	311	1662
158	312	1653
159	313	1645
160	314	1637
161	315	1629
162	315	1621
163	316	1613
164	317	1605
165	317	1597
166	318	1589
167	319	1581
168	320	1573
169	320	1566
170	321	1558
171	322	1551
172	322	1543
173	323	1536
174	324	1529
175	325	1522
176	325	1515
177	326	1508
178	327	1501
179	328	1494
180	328	1488
181	329	1481
182	330	1475
183	331	1468
184	332	1463
185	333	1457
186	333	1452
187	334	1445
188	335	1439
189	336	1434
190	337	1428
191	337	1422
192	338	1415
193	339	1409
194	339	1403
195	340	1397
196	341	1392
197	342	1387
198	343	1381
199	343	1375
200	344	1370
201	345	1364
202	346	1359
203	346	1353
204	347	1348
205	348	1343
206	349	1337
207	349	1332
208	350	1327
209	351	1321
210	352	1316
211	352	1311
212	353	1306
213	354	1300
